trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.5, 'e': 0.9939609554551797}",35,0,-136.8192262598606,"{0: 19, 1: 6, 2: 9, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9933727656003964}",25,0,-129.51565689343448,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9927573419294455}",20,0,-120.26976213892135,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9921147013144779}",20,0,-72.69327787215495,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9914448613738104}",30,9,-97.00935236895964,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.9907478404714436}",30,0,-180.73996360731275,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9900236577165575}",30,0,-167.347976626798,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9892723329629883}",20,0,-55.30500832261515,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9884938868086836}",35,0,-213.40962646624382,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9876883405951378}",30,0,-194.97186020157682,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9868557164068072}",20,0,-100.86086196508487,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.985996037070505}",25,0,-184.72117962819672,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9851093261547739}",30,0,-105.0813021189537,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.984195607969242}",20,0,-86.04491290439694,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9832549075639546}",30,0,-173.31946056322892,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9822872507286887}",20,0,-95.02932324037289,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9812926639922451}",20,0,-55.63972717536109,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9802711746217219}",30,0,-159.30059559440468,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9792228106217657}",20,0,-81.47882991782659,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9781476007338057}",25,0,-131.82080413139684,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9770455744352636}",20,0,-158.46939589322812,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9759167619387474}",20,0,-51.69549082840237,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9747611941912218}",25,12,-140.959409829004,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 3}",1
45,False,"{'a': 0.5, 'e': 0.9735789028731603}",25,0,-122.52695825125438,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9723699203976766}",25,0,-106.72773646512806,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9711342799096361}",20,0,-137.33449327386714,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9698720152847468}",20,0,-94.1885268775454,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9685831611286311}",20,0,-195.7069896515548,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9672677527758768}",30,0,-197.40270918800815,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9659258262890683}",20,11,-5.538579224469426,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9645574184577981}",35,0,-75.15856618626373,"{0: 27, 1: 4, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9631625667976582}",20,0,-83.67489208655155,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9617413095492113}",25,0,-129.72435276796497,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
